0	exp	specie	TFclass	antibody	treatment	cell_line	peak_id	tf	control_id	cotrol_anti	externalrefs	Uniprot_ID	Uniprot_AC	control_refs	gem_peaks	sissrs_peaks	macs_peaks	macs_filter_peaks	pics_peaks
84	EXP010144	Homo sapiens	2.3.3.50.1	CTCF	estrogen	MCF-7	PEAKS033492	CTCF [11]	EXP010288	Input	GEO:GSM822309	P49711	CTCF_HUMAN	GEO:GSM822283	69219	3101	55515	55265	17774
85	EXP011037	Homo sapiens	2.3.3.50.1	CTCF_(SC-5916)	None	HCT-116	PEAKS033907	CTCF [11]	EXP010899	RevXlinkChromatin	GEO:GSM1010903	P49711	CTCF_HUMAN	GEO:GSM1010872	42898	24873	44487	28766	10053
86	EXP032532	Mus musculus	3.5.2.2.1	ab32106		NIH3T3 fibroblasts	PEAKS036459	Elk-1	EXP032526	none	GEO:GSM1118315,GEO:GSE45888,PUBMED:24732378	P41969	ELK1_MOUSE	GEO:GSM1118353,GEO:GSE45888,PUBMED:24732378	254	31	17	0	2
87	EXP032914	Mus musculus	6.1.1.1.1	anti-p50	LPS	C57BL/6	PEAKS036604	NF-&#954;B p105 (NFKB1)			GEO:GSM1314649,GEO:GSE54414	P25799	NFKB1_MOUSE		5338	57834	12577	12577	1713
88	EXP030413	Homo sapiens	1.2.1.0.1	TCF3/E2A		Jurkat E6-1	PEAKS034466	E2A (TCF-3, ITF-1)	EXP030411	None	GEO:GSM722167,GEO:GSE29180,PUBMED:22897851	P15923	TFE2_HUMAN	PUBMED:22897851,GEO:GSM722172,GEO:GSM722173,GEO:GSE29180	111	690	2009	2009	626
89	EXP032702	Mus musculus	1.2.6.1.4	mitf		primary mast cells	PEAKS036515	MiTF			GEO:GSM1167584,GEO:GSE48085,PUBMED:24760698	Q08874	MITF_MOUSE		10954		14950	14950	7538
90	EXP031723	Mus musculus	3.3.1.16.3	foxp3		Foxp3-positive CD4+ T cells	PEAKS036084	FOXP3	EXP031716		GEO:GSM999180,GEO:GSM999182,GEO:GSM999179,PUBMED:23021222,GEO:GSE40684	Q99JB6	FOXP3_MOUSE	GEO:GSM999183,GEO:GSM999181,PUBMED:23021222,GEO:GSE40684	8486	324	35764	35747	
91	EXP000785	Mus musculus	2.2.1.1.3	anti-Gata3 (558686, BD bioscience)		Naive CD4 cells	PEAKS035218	GATA-3			GEO:GSM523223,GEO:GSE20898,PUBMED:21867929	P23772	GATA3_MOUSE		6238	23435	5613	5613	5196
92	EXP000287	Homo sapiens	2.1.1.2.1	ERalpha		MCF-7 cells	PEAKS033095	Estrogen receptor &#945; (ER&#945;) (NR3A1)			GEO:GSM365925,GEO:GSE14664,PUBMED:19339991	P03372	ESR1_HUMAN		4656	13764	18545	18545	412
93	EXP031448	Homo sapiens	2.2.1.1.1	ab11852	adult bone marrow	CD34+ HSPC-derived proerythroblasts	PEAKS034766	GATA-1 (GF-1, EryF1, NF-E1)	EXP031439	none	GEO:GSM970258,GEO:GSE36985,PUBMED:23041383	P15976	GATA1_HUMAN	GEO:GSM908073,GEO:GSE36985,PUBMED:23041383	128242	262	34436	0	1
94	EXP000409	Homo sapiens	2.1.1.1.4	AR	AR stimulated	VCaP cell line	PEAKS033253	Androgen receptor (AR) (NR3C4)	EXP000411	input	GEO:GSM696842,GEO:GSE28126,PUBMED:21602788	P10275	ANDR_HUMAN	GEO:GSM696846,GEO:GSE28126,PUBMED:21602788	54491	13938	55734	46069	20569
95	EXP031623	Mus musculus	3.1.1.9.2	anti-V5 (Abcam, ab15828)	#????	Ainv15 (ATCC SCRC-1029) with Dox-inducible Cdx2-V5 construct	PEAKS036022	CDX-2 (CDX-3)	EXP031622	WCE	GEO:GSM968709,GEO:GSE39433,PUBMED:23955559	P43241	CDX2_MOUSE	GEO:GSM982144,GEO:GSE39433,PUBMED:23955559	52349	2993	32775	10412	
96	EXP010532	Homo sapiens	6.2.1.0.3	STAT3	None	GM12878	PEAKS033708	STAT3	EXP010745	Input	GEO:GSM935557	P40763	STAT3_HUMAN	GEO:GSM935390	2873		1450	0	1
97	EXP031087	Mus musculus	2.2.1.1.1	sc-7392		Megakaryocyte Progenitor Cell Line (G1ME)	PEAKS035757	GATA-1 (GF-1, EryF1, NF-E1)	EXP031085	none	GEO:GSM777092,GEO:GSE31331,PUBMED:22383799,PUBMED:22771118	P17679	GATA1_MOUSE	GEO:GSM777281,PUBMED:22771118,GEO:GSE31331,PUBMED:22383799,GEO:GSM777096	12479	8331	22160	22144	
98	EXP030521	Homo sapiens	2.1.1.2.1	SC-543 (Santa Cruz)	good	primary breast tumor	PEAKS034510	Estrogen receptor &#945; (ER&#945;) (NR3A1)	EXP030519		GEO:GSM1003711,GEO:GSE40867,PUBMED:24242068	P03372	ESR1_HUMAN	GEO:GSM1003743,GEO:GSE40867,PUBMED:24242068	1501	1619	4214	0	6
99	EXP032591	Mus musculus	6.4.1.0.1	RUNX2 (Santa Cruz, M-70, sc10758, lot# D1411)	ethanol vehicle	MC3T3-E1	PEAKS036484	Runx2 (PEBP2&#945;A, CBF-&#945;1)	EXP032588		GEO:GSM1027478,GEO:GSE41920,PUBMED:24764292	Q08775	RUNX2_MOUSE	GEO:GSM1027508,GEO:GSE41920,PUBMED:24764292	36341	45337	37750	37750	
100	EXP031251	Mus musculus	2.2.1.1.1	HA-tag antibody (Santa Crruz Biotechnology, sc-7392)		G1ME	PEAKS035831	GATA-1 (GF-1, EryF1, NF-E1)	EXP031250		GEO:GSM872893,GEO:GSE35644,PUBMED:22771118	P17679	GATA1_MOUSE	GEO:GSM872895,GEO:GSE35644,PUBMED:22771118	12707	3761	12563	12524	
101	EXP032679	Homo sapiens	2.1.1.1.4	Anti-Androgen Receptor (AR) Antibody, PG-21 (Millipore, cat#06-680, lot#JBC1939961)	#????	prostate cancer cell line DU145	PEAKS035074	Androgen receptor (AR) (NR3C4)	EXP032676	none (input)	GEO:GSM1164143,GEO:GSE47987,PUBMED:24875621	P10275	ANDR_HUMAN	GEO:GSM1164140,GEO:GSE47987,PUBMED:24875621	3864	1668	4821	0	2
102	EXP030766	Mus musculus	6.2.1.0.5	Santa Cruz, sc-1081		Mammary tissues	PEAKS035639	STAT5A	EXP030764	None	GEO:GSM1005189,GEO:GSE40930,PUBMED:23275557	P42230	STA5A_MOUSE	GEO:GSM1005193,GEO:GSE40930,PUBMED:23275557	43122	9460	38324	38324	
103	EXP030637	Homo sapiens	6.2.1.0.3	STAT3 (Santa Cruz, sc-482X)		SU-DHL2	PEAKS034546	STAT3	EXP030628	none	GEO:GSM1227209,GEO:GSE50723,PUBMED:24142927	P40763	STAT3_HUMAN	GEO:GSM1227218,GEO:GSE50723,PUBMED:24142927	14672	8752	34373	34373	25820
104	EXP010279	Homo sapiens	3.3.1.16.2	FOXP2	None	SK-N-MC	PEAKS033568	FOXP2	EXP010124	RevXlinkChromatin	GEO:GSM803353	O15409	FOXP2_HUMAN	GEO:GSM803492	2835	309	831	0	1
105	EXP032569	Homo sapiens	3.5.2.1.1	anti-ETS1		CD4+CD25- expanded conventional T cells	PEAKS035032	c-Ets-1	EXP032560	none	GEO:GSM1056932,GEO:GSE43119,PUBMED:24671953	P14921	ETS1_HUMAN	GEO:GSM1056959,GEO:GSE43119,PUBMED:24671953	9351	4199	14704	14704	68
106	EXP031534	Mus musculus	1.1.1.1.2	Santa Cruz Biotechnology, sc-46		bone marrow-derived macrophages (7th day of differentiation)	PEAKS036011	JunB			GEO:GSM1022318,GEO:GSE38377,PUBMED:23332752	P09450	JUNB_MOUSE		5684	49485	8625	8625	12825
107	EXP030615	Homo sapiens	2.1.1.1.4	AR	1 nM  DHT	LNCaP-pcDNA3.1	PEAKS034537	Androgen receptor (AR) (NR3C4)	EXP030606	rabbit IgG	GEO:GSM1174487,GEO:GSE48308,PUBMED:21909140	P10275	ANDR_HUMAN	GEO:GSM1174489,GEO:GSE48308,PUBMED:21909140	187	452	754	192	105
108	EXP011169	Homo sapiens	2.3.3.50.1	CTCF	serum_stimulated_media	MCF-7	PEAKS034016	CTCF [11]	EXP010288	Input	GEO:GSM1006875	P49711	CTCF_HUMAN	GEO:GSM822283	79412	14241	132278	53191	12251
109	EXP030745	Homo sapiens	3.3.1.1.1	ab5089	siGATA	MCF-7	PEAKS034591	FOXA1 (HNF-3&#945;)	EXP030742		GEO:GSM986066,GEO:GSE40129,PUBMED:23172872	P55317	FOXA1_HUMAN	GEO:GSM986091,GEO:GSE40129,PUBMED:23172872	105810	18952	123115	123115	66763
110	EXP000515	Homo sapiens	6.2.1.0.7	stat6	Act for 1hr	CD4+ T cells	PEAKS033177	STAT6			GEO:GSM445804,GEO:GSE17850,PUBMED:20620947	P42226	STAT6_HUMAN		4869	10780	7165	7165	1186
111	EXP010708	Homo sapiens	2.3.3.50.1	CTCF	None	Caco-2	PEAKS033795	CTCF [11]	EXP010928	Input	GEO:GSM749689,GEO:GSM749748	P49711	CTCF_HUMAN	GEO:GSM945236,GEO:GSM749691	53754	4903	50778	50762	14284
112	EXP010145	Homo sapiens	3.5.2.3.1	ELF1_(SC-631)	None	K562	PEAKS033493	Elf-1	EXP010130	RevXlinkChromatin	GEO:GSM803494	P32519	ELF1_HUMAN	GEO:GSM803352	43703	10618	60833	54442	9448
113	EXP033028	Mus musculus	1.1.1.3.1	anti-ATF2		3T3-L1	PEAKS036655	ATF-2			GEO:GSM1370447,GEO:GSE56872	P16951	ATF2_MOUSE		13337	159164	20656	20656	87974
114	EXP032027	Homo sapiens	3.5.2.1.5	sc-356	none	ME-1	PEAKS034925	Fli-1			GEO:GSM1122312,GEO:GSE46044,PUBMED:24002588	Q01543	FLI1_HUMAN		8447	123162	16560	16560	7032
115	EXP032153	Mus musculus	2.3.1.2.1	anti-EKLF		erythroid progenitor	PEAKS036272	KLF1 (EKLF)	EXP032151	none (input)	GEO:GSM1165492,GEO:GSE48020,PUBMED:21900194	P46099	KLF1_MOUSE	GEO:GSM1165497,GEO:GSE48020,PUBMED:21900194	3401	5320	11131	7051	
116	EXP010648	Homo sapiens	2.3.1.1.1	SP1	None	K562	PEAKS033769	Sp1	EXP010671	RevXlinkChromatin	GEO:GSM803505	P08047	SP1_HUMAN	GEO:GSM803468	5131	1109	3108	644	125
117	EXP030530	Homo sapiens	2.1.1.2.1	SC-543 (Santa Cruz)	poor	primary breast tumor	PEAKS034519	Estrogen receptor &#945; (ER&#945;) (NR3A1)	EXP030519		GEO:GSM1003737,GEO:GSE40867,PUBMED:24242068	P03372	ESR1_HUMAN	GEO:GSM1003743,GEO:GSE40867,PUBMED:24242068	949	961	2068	1	17
118	EXP030969	Mus musculus	6.2.1.0.6	R&D systems, anti-stat 5B serum PA-ST5B		Dendritic Cell	PEAKS035713	STAT5B			GEO:GSM671417,GEO:GSE27161,PUBMED:23453633	P42232	STA5B_MOUSE		3457	30619	2999	2999	139589
119	EXP032434	Homo sapiens	3.1.8.4.3	anti-ZFHX4		glioblastoma tumor intiating cells, 0308 line	PEAKS035002	ZFHX4 (ZFH-4)	EXP032432	none	GEO:GSM1265799,GEO:GSE52419,PUBMED:24440720	Q86UP3	ZFHX4_HUMAN	GEO:GSM1265803,GEO:GSE52419,PUBMED:24440720		38	165	0	
120	EXP010976	Homo sapiens	2.1.1.1.1	GR	DEX_100nM	ECC-1	PEAKS033864	Glucocorticoid receptor (GR) (NR3C1)	EXP010785	Input	GEO:GSM803340	P04150	GCR_HUMAN	GEO:GSM803464	8973	5114	16566	16566	2622
121	EXP010181	Mus musculus	2.3.3.50.1	CTCF		Liver	PEAKS035471	CTCF [11]	EXP010923	Input	GEO:GSM918715	Q61164	CTCF_MOUSE	GEO:GSM769034,GEO:GSM918718	41438	13287	43886	40523	16200
122	EXP030741	Homo sapiens	2.1.1.1.4	androgen	DHT treated (4h)	LNCaP	PEAKS034589	Androgen receptor (AR) (NR3C4)	EXP030732	none	PUBMED:23019221,GEO:GSM984388,GEO:GSE40050,GEO:GSM984387	P10275	ANDR_HUMAN	GEO:GSM984402,GEO:GSE40050,PUBMED:23019221	7437	1051	3608	0	27
123	EXP010635	Mus musculus	1.2.3.1.1	TAL1_(SC-12984)		MEL	PEAKS035501	Tal-1 (SCL, TCL-5)	EXP010059	Input	GEO:GSM923578	P22091	TAL1_MOUSE	GEO:GSM923574	18758	11788	17899	17899	
124	EXP032418	Mus musculus	6.2.1.0.5	Stat5	Ezh2 KO	mammary	PEAKS036398	STAT5A	EXP032417	none	GEO:GSM1257548,GEO:GSE52016	P42230	STA5A_MOUSE	GEO:GSM1257550,GEO:GSE52016	9993	3826	13397	13397	297
125	EXP031334	Mus musculus	1.1.6.0.1	sc-200, ab28830-100	LPS, 120 min	bone marrow-derived dendritic cells	PEAKS035907	ATF-4	EXP031268	none	GEO:GSM881130,GEO:GSE36099,PUBMED:22940246	Q06507	ATF4_MOUSE	GEO:GSM881123,GEO:GSE36099,PUBMED:22940246	19	73	447	447	
126	EXP031609	Homo sapiens	2.3.3.9.1	YY1 (Santa Cruz Biotechnology, sc-1703X)		H1-hESC (WiCell Research Institute WA01)	PEAKS034823	YY1			GEO:GSM956127,GEO:GSE39096,PUBMED:22960372	P25490	TYY1_HUMAN		7571	15525	20973	20973	6445
127	EXP010352	Homo sapiens	2.3.3.50.1	CTCF	None	HCT-116	PEAKS033613	CTCF [11]	EXP010913	Input	GEO:GSM1022651,GEO:GSM1022652	P49711	CTCF_HUMAN	GEO:GSM749774,GEO:GSM945287	54759	12097	56110	56110	32990
128	EXP010207	Homo sapiens	2.3.3.12.1	PRDM1_(9115)	None	HeLa-S3	PEAKS033533	PRDM1 (BLIMP1)	EXP010054	Input	GEO:GSM935555	O75626	PRDM1_HUMAN	GEO:GSM935339	4312	2620	7646	2170	62
129	EXP031915	Homo sapiens	2.1.1.1.3			endothelial cells	PEAKS034879	Progesterone receptor (PR) (NR3C3)	EXP031912		GEO:GSM1071299,GEO:GSE43786	P06401	PRGR_HUMAN	GEO:GSM1071303,GEO:GSE43786	16	642	1796	1714	1
130	EXP000015	Mus musculus	4.1.1.2.3	Sox3 (T. Edlund)		ES-derived neural progenitor cells	PEAKS035240	SOX-3	EXP000013	IgG (Millipore)	PUBMED:22085726,GEO:GSE33059,GEO:GSM818938,GEO:GSM818937,GEO:GSM818936	P53784	SOX3_MOUSE	GEO:GSM818945,GEO:GSE33059,PUBMED:22085726	20427	1444	10549	10478	595
131	EXP000290	Homo sapiens	2.1.1.2.1	ERalpha	Fulvestrant	MCF-7 cells	PEAKS033137	Estrogen receptor &#945; (ER&#945;) (NR3A1)			GEO:GSM365928,GEO:GSE14664,PUBMED:19339991	P03372	ESR1_HUMAN		10827	16384	18416	18416	6406
132	EXP010026	Homo sapiens	2.3.3.50.1	CTCF	None	HBMEC	PEAKS033432	CTCF [11]	EXP010827	Input	GEO:GSM749743,GEO:GSM749710	P49711	CTCF_HUMAN	GEO:GSM749746,GEO:GSM945311	67786	11297	73932	73932	21501
133	EXP032121	Homo sapiens	6.3.1.0.1	anti-p53	0.6 ug/ml Doxorubicin for 24 hr	osteosarcoma U2OS	PEAKS034945	p53	EXP032122	none	GEO:GSM1133484,GEO:GSE46641,PUBMED:23775793	P04637	P53_HUMAN	GEO:GSM1133485,GEO:GSE46641,PUBMED:23775793	2447	3115	5453	5453	272344
134	EXP000939	Homo sapiens	2.2.1.1.1	GATA1	bio	K562	PEAKS033092	GATA-1 (GF-1, EryF1, NF-E1)	EXP000959	input	GEO:GSM722412,GEO:GSE29195,PUBMED:22036566	P15976	GATA1_HUMAN	GEO:GSM722420,GEO:GSM722421,GEO:GSE29195,PUBMED:22036566	15570	11964	26534	8838	9320
135	EXP000166	Mus musculus	2.3.3.50.1	ctcf		V6.5 embryonic stem cells	PEAKS035256	CTCF [11]	EXP000167	input	GEO:GSM465676,GEO:GSE18699,PUBMED:19946276	Q61164	CTCF_MOUSE	GEO:GSM465677,GEO:GSE18699,PUBMED:19946276	18660	25689	34397	34378	25006
136	EXP000121	Mus musculus	6.2.1.0.5	STAT5 antibody C-17		CD-1, FH	PEAKS035296	STAT5A	EXP000119	normal rabbit IgG	PUBMED:22158971,GEO:GSM784031,GEO:GSM784032,GEO:GSE31578,GEO:GSM784030	P42230	STA5A_MOUSE	GEO:GSM784045,GEO:GSE31578,PUBMED:22158971	33278	6658	25773	25773	6487
137	EXP010164	Homo sapiens	3.1.10.2.2	POU2F2	None	GM12891	PEAKS033503	POU2F2 (Oct-2, OTF-2)	EXP010141	RevXlinkChromatin	GEO:GSM803397	P09086	PO2F2_HUMAN	GEO:GSM803481	22247	1087	23490	19201	41
138	EXP000355	Homo sapiens	1.2.3.1.1	SCL		megakaryocytes cultured from cord blood CD34-positive cells	PEAKS033229	Tal-1 (SCL, TCL-5)	EXP000356	Rabbit-IgG	GEO:GSM607953,GEO:GSE24674,PUBMED:21571218	P17542	TAL1_HUMAN	GEO:GSM607954,GEO:GSE24674,PUBMED:21571218	2099	2190	7462	3195	1136
139	EXP000039	Homo sapiens	3.1.2.12.1	NANOG		H1 embryonic stem cells	PEAKS033276	NANOG			GEO:GSE18292,PUBMED:19829295,GEO:GSM456571,GEO:GSM456572	Q9H9S0	NANOG_HUMAN		44683	74224	50237	50237	29317
140	EXP031314	Mus musculus	3.5.2.5.1	PU.1	LPS, 60 min	bone marrow-derived dendritic cells	PEAKS035887	PU.1 (Spi-1)	EXP031270	none	GEO:GSM881102,GEO:GSE36099,PUBMED:22940246	P17433	SPI1_MOUSE	GEO:GSM881125,GEO:GSE36099,PUBMED:22940246		4	92	92	
141	EXP010167	Homo sapiens	2.3.3.50.2	CTCFL_(SC-98982)	None	K562	PEAKS033505	CTCFL [11] (CTCF-T, BORIS)	EXP010671	RevXlinkChromatin	GEO:GSM803401	Q8NI51	CTCFL_HUMAN	GEO:GSM803468	10177	8349	23402	23402	6169
142	EXP010537	Homo sapiens	1.2.1.0.3	TCF12	None	GM12878	PEAKS033711	HTF-4 (TCF-12, HEB)	EXP010580	RevXlinkChromatin	GEO:GSM803389	Q99081	HTF4_HUMAN	GEO:GSM803351	18507	17455	41994	41994	90284
143	EXP000795	Mus musculus	3.5.2.1.1	Ets1 (santa cruz, cat#sc111X, Lot#G1905)		T-helper 2 cells	PEAKS035387	c-Ets-1			GEO:GSM654875,GEO:GSE20898,PUBMED:21867929	P27577	ETS1_MOUSE		3388	36095	15031	15031	4133
144	EXP010450	Mus musculus	2.3.3.50.1	CTCF_(SC-15914)	None	CH12	PEAKS036724	CTCF [11]	EXP010613	Input	GEO:GSM912909	Q61164	CTCF_MOUSE	GEO:GSM912917	91055	4076	65043	19647	1
145	EXP030611	Homo sapiens	2.1.1.1.4	AR		LNCaP-ARhi	PEAKS034533	Androgen receptor (AR) (NR3C4)	EXP030606	rabbit IgG	GEO:GSM1174483,GEO:GSE48308,PUBMED:21909140	P10275	ANDR_HUMAN	GEO:GSM1174489,GEO:GSE48308,PUBMED:21909140	1	103	536	4	1
146	EXP000511	Mus musculus	7.1.2.0.3	NFI (H300): sc-5567, SantaCruz Biotechnology		mouse embryonic fibroblasts (MEF)	PEAKS035285	NF-1C	EXP000513		GEO:GSM398010,GEO:GSE15844	P70255	NFIC_MOUSE	GEO:GSM398012,GEO:GSE15844	1659	1325	5022	0	0
147	EXP010748	Mus musculus	1.2.6.2.1	USF-1	EqS_2.0pct_60hr	C2C12	PEAKS035508	USF-1	EXP010883	Input	GEO:GSM915161	Q61069	USF1_MOUSE	GEO:GSM918407,GEO:GSM915184	16936	14458	23135	23135	
148	EXP030750	Homo sapiens	2.1.1.2.1	sc-543	siNT, E2 100nM for 3h	MCF-7	PEAKS034596	Estrogen receptor &#945; (ER&#945;) (NR3A1)	EXP030742		GEO:GSM986061,PUBMED:23172872,GEO:GSM986063,GEO:GSE40129,GEO:GSM986059	P03372	ESR1_HUMAN	GEO:GSM986091,GEO:GSE40129,PUBMED:23172872	78585	6713	65111	65111	12215
149	EXP031559	Mus musculus	3.5.3.0.8	goat anti-IRF8 antibody (C-19; Santa Cruz Biotechnology)	MSCV-IRF8 transduced	Myeloid progenitor cell line Tot2 (derived from Irf8 knockout mouse)	PEAKS036017	IRF-8 (ICSBP1)	EXP031558		GEO:GSM950325,GEO:GSE38824,PUBMED:23319570	P23611	IRF8_MOUSE	GEO:GSM950323,GEO:GSE38824,PUBMED:23319570	4948	7346	10484	10466	27070
150	EXP000288	Homo sapiens	2.1.1.2.1	ERalpha	E2	MCF-7 cells	PEAKS033093	Estrogen receptor &#945; (ER&#945;) (NR3A1)			GEO:GSM365926,GEO:GSE14664,PUBMED:19339991	P03372	ESR1_HUMAN		23805	53320	44868	44868	21440
151	EXP031338	Mus musculus	6.1.1.2.3	sc-70, sc-71	LPS, 60 min	bone marrow-derived dendritic cells	PEAKS035911	c-Rel	EXP031270	none	GEO:GSM881134,GEO:GSE36099,PUBMED:22940246	P15307	REL_MOUSE	GEO:GSM881125,GEO:GSE36099,PUBMED:22940246	654	1893	4277	4246	50941
152	EXP030536	Homo sapiens	1.2.6.5.5	Max	24 hr	Plasma cell	PEAKS034522	Max	EXP030534	None WCE	GEO:GSM1033759,GEO:GSE42161	P61244	MAX_HUMAN	GEO:GSM1033763,GEO:GSE42161	31	402	1901	1901	71867
153	EXP031461	Mus musculus	6.2.1.0.3	p-STAT3 (sc-7993) and STAT3 (sc-482x) from SantaCruz	LIF	AtT-20	PEAKS035965	STAT3	EXP031460	rabbit IgG (G2018, Sigma)	GEO:GSM926624,GEO:GSE37235,PUBMED:22633955	P42227	STAT3_MOUSE	GEO:GSM926623,GEO:GSE37235,PUBMED:22633955	2667	4503	6686	6686	
154	EXP010078	Homo sapiens	2.3.3.9.1	YY1_(SC-281)	None	GM12878	PEAKS033458	YY1	EXP010137	RevXlinkChromatin	GEO:GSM803406	P25490	TYY1_HUMAN	GEO:GSM803436	29236	27156	46630	46630	76790
155	EXP011035	Homo sapiens	2.1.1.1.1	GR	DEX_100nM	A549	PEAKS033905	Glucocorticoid receptor (GR) (NR3C1)	EXP010909	Input	GEO:GSM803371	P04150	GCR_HUMAN	GEO:GSM803373	13986	8704	19414	12961	6200
156	EXP031392	Homo sapiens	1.2.6.5.5	Santa Cruz SC-197	cMyc expression released for 1 hours	P493-6	PEAKS034740	Max	EXP031381	None	GEO:GSM894075,GEO:GSE36354,PUBMED:23021215	P61244	MAX_HUMAN	GEO:GSM894094,GEO:GSE36354,PUBMED:23021215	26441	10213	32842	16924	793
157	EXP000681	Mus musculus	2.1.3.1.1	polyclonal anti-RXRa	6hr ATRA	F9 embryonal carcinoma cells	PEAKS035386	RXR&#945; (NR2B1)	EXP000690	input	GEO:GSM757796,GEO:GSE30538,PUBMED:21988834	P28700	RXRA_MOUSE	GEO:GSM757813,GEO:GSE30538,PUBMED:21988834	594	4929	1727	247	61
158	EXP031400	Homo sapiens	1.2.6.5.1	Santa Cruz SC-764	DMSO	Plasma cell	PEAKS034748	c-Myc	EXP031386	None	GEO:GSM894108,GEO:GSE36354,PUBMED:23021215	P01106	MYC_HUMAN	PUBMED:23021215,GEO:GSE36354,GEO:GSM894087,GEO:GSM894110	30612	16282	28396	28396	334868
159	EXP030683	Mus musculus	1.1.8.1.2	C/EBPbeta		mouse brown preadipocytes, MLL4 KO, Vec Cre, C/EBPbeta ChIP	PEAKS035615	C/EBP&#946; (NF-IL6-1)	EXP030680	none	GEO:GSM1219523,GEO:GSE50455	P28033	CEBPB_MOUSE	GEO:GSM1219532,GEO:GSE50455	6217	3894	18584	18584	2594
160	EXP032165	Mus musculus	3.3.1.1.1	FOXA1 (ab23738, Abcam)	castrated+vehicle	prostate	PEAKS036274	FOXA1 (HNF-3&#945;)	EXP032158	rIgG (sc-2027, SantaCruz)	GEO:GSM1146465,GEO:GSE47192	P35582	FOXA1_MOUSE	GEO:GSM1146470,GEO:GSE47192	23817	5865	26940	26940	1334
161	EXP030859	Mus musculus	2.2.1.1.1	ab11852 from Abcam		Ter119+ Cells	PEAKS035665	GATA-1 (GF-1, EryF1, NF-E1)			GEO:GSM1151146,GEO:GSE47492	P17679	GATA1_MOUSE		68	68	520	520	
162	EXP032907	Mus musculus	2.1.2.4.1	sc-1008		IDG-SW3	PEAKS036599	VDR (NR1I1)	EXP032906	None	PUBMED:24877565,GEO:GSM1323916,GEO:GSE54782,GEO:GSM1323915	P48281	VDR_MOUSE	GEO:GSM1323942,GEO:GSE54782,PUBMED:24877565	688	317	544	349	
163	EXP000747	Homo sapiens	2.1.2.1.1	RAR		UPR9	PEAKS033158	RAR-&#945; (NR1B1)			GEO:GSM468211,GEO:GSE18886,PUBMED:20159609	P10276	RARA_HUMAN		1475	1916	5312	5312	132
164	EXP000222	Homo sapiens	4.1.1.2.2	Sox2 antibody (Abcam cat#ab59776)		LN229 glioma cancer cells	PEAKS033191	SOX-2	EXP000223	IgG	GEO:GSM586971,GEO:GSE23795,PUBMED:21211035	P48431	SOX2_HUMAN	GEO:GSM586972,GEO:GSE23795,PUBMED:21211035	5	223	158	0	0
165	EXP010037	Homo sapiens	6.1.2.1.8	BCL3	EtOH_0.02pct	A549	PEAKS033439	BCL-3	EXP010076	RevXlinkChromatin	GEO:GSM1010775	P20749	BCL3_HUMAN	GEO:GSM1010818	6721	7986	37666	37666	916
166	EXP032281	Mus musculus	2.3.1.3.2	anti-EGR2	TCR	T cells of C57BL/6	PEAKS036827	EGR2 (Krox-20)	EXP032278	IgG	GEO:GSM1198167,GEO:GSE49366	P08152	EGR2_MOUSE	GEO:GSM1198164,GEO:GSE49366	616	2286	1913	0	744
167	EXP010674	Homo sapiens	2.3.2.1.12	ZBTB33	None	GM12878	PEAKS033782	ZBTB33 (KAISO, ZNF348)	EXP010581	RevXlinkChromatin	GEO:GSM803392	Q86T24	KAISO_HUMAN	GEO:GSM803351	1900	2588	9617	2645	210929
168	EXP031665	Mus musculus	3.1.6.1.2	six2		nephron progenitor	PEAKS036054	SIX2	EXP031663	none (input control)	GEO:GSM980188,GEO:GSE39837,PUBMED:22902740	Q62232	SIX2_MOUSE	GEO:GSM980192,GEO:GSE39837,PUBMED:22902740	13887	8339	38550	38550	
169	EXP010082	Homo sapiens	6.2.1.0.1	STAT1	IFNa6h	K562	PEAKS033461	STAT1	EXP010418	Input	GEO:GSM935471	P42224	STAT1_HUMAN	GEO:GSM935419	941	951	3019	806	238
170	EXP030542	Mus musculus	2.3.3.21.1	Gfi1		Mast cell	PEAKS035569	GFI1 [6] (ZNF163)			GEO:GSM1041379,GEO:GSE42518,PUBMED:23524953	O70237	GFI1B_MOUSE		9090	11460	13345	13345	6030
171	EXP032749	Mus musculus	2.3.1.2.4	Klf4	KLF4 overexpression	CGR8	PEAKS036533	KLF4 (GKLF)	EXP032746	None	GEO:GSM1324615,GEO:GSE49848	Q60793	KLF4_MOUSE	GEO:GSM1208219,GEO:GSE49848	25583	8698	43097	3091	2
172	EXP031388	Homo sapiens	1.2.6.5.1	Santa Cruz SC-764	cMyc expression released for 0 hours	P493-6	PEAKS034736	c-Myc	EXP031380	None	GEO:GSM894059,GEO:GSE36354,PUBMED:23021215	P01106	MYC_HUMAN	GEO:GSM894093,GEO:GSE36354,PUBMED:23021215	2343	3419	6867	6867	172051
173	EXP032312	Mus musculus	6.4.1.0.3	Runx3 poly clonal home made		Splenic CD8+ T cells	PEAKS036342	Runx3 (PEBP2&#945;C, CBF-&#945;3, AML-2)	EXP032309	Non-immune rabbit serum	GEO:GSE50130,PUBMED:24236182,GEO:GSM1214545,GEO:GSM1214544	Q64131	RUNX3_MOUSE	GEO:GSM1214547,GEO:GSE50130,PUBMED:24236182	740	218	1892	254	
